omega_n,omega_next,return_time,impact_count,return_type,omega_next_exact,absolute_error,attractor,gamma,alpha,omega_1,omega_2,gravity,length,mass,num_spokes
0.9800000000000004,1.0393360451327915,2.069683790206909,1,downhill_step,1.0393360460045897,8.717981891948057e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.0,1.0488181042347922,1.5345805633068097,1,downhill_step,1.0488181045941447,3.5935254771857217e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.0199999999999996,1.058404184112983,1.3457728618383418,1,downhill_step,1.0584041839129577,2.0002532963303565e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.040000000000001,1.068091482827185,1.2287464779615411,1,downhill_step,1.068091483218762,3.9157699305292226e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.0600000000000005,1.0778772743554117,1.1439372152090082,1,downhill_step,1.0778772734056763,9.497354014342818e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.08,1.0877588967716245,1.0775200277566916,1,downhill_step,1.0877588963205287,4.51095827358472e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.0954628396476571,1.0954628403062643,1.0345498180389412,1,downhill_step,1.0954628396476571,6.586071688019501e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.0999999999999996,1.0977337631366881,1.023016839623452,1,downhill_step,1.097733763953926,8.172378329618368e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.120000000000001,1.107799357786738,0.9768659597635275,1,downhill_step,1.1077993575212324,2.655056174916126e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.1400000000000006,1.1179532268658292,0.9368976789712912,1,downhill_step,1.1179532264475356,4.1829362196210695e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.1600000000000001,1.1281929871621112,0.9016917270421988,1,downhill_step,1.1281929872696668,1.0755552004582114e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.1799999999999997,1.1385163215846918,0.8702674180269246,1,downhill_step,1.1385163224672952,8.826033237596675e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.200000000000001,1.1489209798182503,0.841919041872025,1,downhill_step,1.1489209792341923,5.840579131444201e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.2200000000000006,1.1594047682513642,0.8161217540502553,1,downhill_step,1.1594047681998099,5.155431637149377e-11,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
1.2400000000000002,1.1699655617398048,0.7924745804071431,1,downhill_step,1.169965562110464,3.706592810459597e-10,rolling,0.08,0.39269908169872414,0.9754168743931118,-1.4667913661798448,9.81,1,1,8
