theta_index,theta_dot_index,theta0,theta_dot0,classification,final_time,final_theta,final_theta_dot,total_impacts,downhill_impacts,uphill_impacts,rolling_speed,gamma,alpha,gravity,length,mass,num_spokes
0,71,-0.13269908169872413,-0.3374999999999999,settled,0.09,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,72,-0.13269908169872413,-0.30000000000000027,settled,0.08,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,73,-0.13269908169872413,-0.2625000000000002,settled,0.07,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,74,-0.13269908169872413,-0.2250000000000001,settled,0.060000000000000005,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,75,-0.13269908169872413,-0.1875,settled,0.05,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,76,-0.13269908169872413,-0.1499999999999999,settled,0.04,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,77,-0.13269908169872413,-0.11250000000000027,settled,0.03,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,78,-0.13269908169872413,-0.07500000000000018,settled,0.02,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,79,-0.13269908169872413,-0.03750000000000009,settled,0.01,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,80,-0.13269908169872413,0.0,settled,0.01,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,81,-0.13269908169872413,0.03750000000000009,settled,0.07,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,82,-0.13269908169872413,0.07499999999999973,settled,0.13999999999999999,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,83,-0.13269908169872413,0.11249999999999982,settled,0.21000000000000005,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,84,-0.13269908169872413,0.1499999999999999,settled,0.2800000000000001,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,85,-0.13269908169872413,0.1875,settled,0.36000000000000015,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,86,-0.13269908169872413,0.2250000000000001,settled,0.45000000000000023,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,87,-0.13269908169872413,0.26249999999999973,settled,0.5400000000000003,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,88,-0.13269908169872413,0.2999999999999998,settled,0.6600000000000004,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,89,-0.13269908169872413,0.3374999999999999,settled,0.8100000000000005,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,90,-0.13269908169872413,0.375,settled,1.0500000000000007,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,91,-0.13269908169872413,0.4125000000000001,settled,1.9200000000000015,-0.13269908169872413,0.0,2,1,1,nan,0.26,0.39269908169872414,9.81,1,1,8
0,92,-0.13269908169872413,0.44999999999999973,rolling,7.929999999999875,-0.12703771925236063,1.9611350982194609,18,18,0,1.9647653876618387,0.26,0.39269908169872414,9.81,1,1,8
0,93,-0.13269908169872413,0.4874999999999998,rolling,7.69999999999988,-0.11503522124903583,1.9538725555507717,18,18,0,1.9647657455643834,0.26,0.39269908169872414,9.81,1,1,8
0,94,-0.13269908169872413,0.5249999999999999,rolling,7.559999999999883,-0.1232557132859016,1.9587723489245858,18,18,0,1.9647661315116045,0.26,0.39269908169872414,9.81,1,1,8
0,95,-0.13269908169872413,0.5625,rolling,7.459999999999885,-0.13066008407666038,1.9634620893386987,18,18,0,1.9647665477813232,0.26,0.39269908169872414,9.81,1,1,8
